Interaction_ID,Customer_ID,Interaction_Date,Interaction_Type,Issue_Resolved
5a367006-c47a-4728-a042-c4c6ddd9ee3e,4166b61a-cb6d-4190-ac0b-df812c0308ff,2024-08-07,,True
544d6348-cc9c-4c36-9fbe-eaf7e845e682,cc9a2115-b197-4a2b-9a6a-0fb2da5a0c73,2024-01-30,Email,True
b1739e10-0690-4ec6-9a6b-147127c0f388,1f22e566-13a0-4758-b42c-b0f6e997d46c,2024-06-27,Chat,True
3d9dcd53-7edd-4672-bfcf-a03b430b2935,dae0689d-0c38-440c-b921-fe2413c3df3b,2024-07-20,Email,False
2861521b-43ba-45d9-a0bd-9ee5c2e3edf4,c1e7a24a-0cc4-4a3e-8cf1-1e3487076ef4,2024-05-31,Email,False
a5131e7a-dd45-4a35-8682-e0046c96aa8c,3f39f7c4-6613-4438-a6ab-65c259b6d2d1,2024-06-16,,True
ad3c5734-6090-40b3-b622-acc81d92a1d3,1d664e5b-d86e-4a54-9d4f-11efa34f9686,2024-07-20,Chat,True
5e8c084d-183b-439d-98e6-e10015d50abd,230d356d-0e2e-42f7-a1aa-b80fe11f3b8d,2024-08-03,Phone,True
74e6759d-2483-4279-a10b-d47270b90a70,bc7a1591-33bf-464d-ae17-fdc622dd31d4,2024-06-07,Phone,True
92d1ce67-b569-4e05-b1db-6cae4e267d50,db150905-e2d4-47d2-840d-65c971d634a2,2024-05-13,Email,False
1a543773-c1af-4020-85c7-60cfbd9e5c03,afdc2a3c-a1f6-49c2-91a8-734374338851,2024-05-11,Phone,False
3d8b756a-144f-4595-b67d-7b1a83356a4a,81a236f9-f583-4480-80e3-d0b288c991d9,2024-08-15,Phone,True
81901777-4b87-42a9-8744-a15e2596c57e,8e39546e-5d13-42c5-b956-84d02ba2e1b7,2024-03-09,Phone,False
b8e33e76-6611-4613-963e-be59daf3f55b,77fad2f0-0e5c-4a1d-b7da-63e154f71b8e,2024-02-19,Email,True
94b3483d-40b3-4b2d-a158-e56b9152bf3e,83f85be8-d495-47ab-bea3-adfc7d241082,2024-07-29,,True
033625ce-674b-441c-a23b-72a803edd5e7,fdb19bbf-7ee4-4833-bba6-e9b22a898e39,2024-02-24,Phone,True
80c413d7-e9b9-4f60-a8a7-00c366e08de1,2862a3af-dd74-45d3-9606-06cbc60729a4,2024-08-12,Chat,True
49cfc159-62cf-4d22-82e4-75e801815f2c,9f8a4fa9-aaa4-481b-98c3-216d940a4ac6,2024-05-15,Phone,True
63b91b09-44d4-4729-823d-54270f9616e0,66bf0b0c-ef19-4104-958b-fe54d80fe054,2024-01-29,Email,False
