Transaction_ID,Customer_ID,Product_ID,Date,Amount,Sales_Rep_ID
31190b6c-54cd-4cdb-a89e-7d8633b386df,d7522cab-f713-4c74-9d32-fadba3a20a85,48,2024-04-01,234.0,8aede4f3-bd43-45a7-9edc-5d69a2645fa1
05d4bcca-dc8e-405c-81aa-d2bfc2acbc00,dae0689d-0c38-440c-b921-fe2413c3df3b,3,2024-03-28,119.0,c48b42a3-544b-4542-8528-4208e6f80b46
9b6e01be-1814-41e0-bd7d-3ae2f845f5bf,075005e4-bb34-4965-bb28-fd100b10c45c,26,2024-06-09,240.0,d7558c8d-5355-48e7-8b88-30ab41ff2b8f
46bd8f7c-20e0-405b-a1fe-b78e2b9a6813,ec910504-7738-463c-b269-1b1617b09ad1,37,2024-03-24,451.0,d0fa26a0-d161-4976-ae9a-9c5f74fc103c
f02dded4-81bf-4310-8715-65e4fa9e1042,84441f52-77e5-450b-97d2-80f64c5c4fb4,4,2024-05-29,78.0,8aede4f3-bd43-45a7-9edc-5d69a2645fa1
9b068943-af5f-4e43-bf84-bf6f140ff4b5,2b2673a4-7eed-4776-9b21-12cc5fb6ed51,20,2024-07-23,382.0,5f719abf-9d76-49d9-a082-e408309d38b9
810a7e7a-8a84-4f07-a486-020fca5d572f,742f0811-2251-4809-b175-2f6b2be2baa3,16,2024-06-10,191.0,d0fa26a0-d161-4976-ae9a-9c5f74fc103c
a62a6e9d-6520-4575-81ea-0228a94f448d,c7f17f22-4ba9-4d2d-b8b7-0c514fb0b751,12,2024-04-07,405.0,182f2a72-4271-4bbb-af12-abe8c23f6b80
7732c304-f7ee-4243-975f-682f24e8042e,8b32a852-99ed-4dec-89a4-1f44ffcf50b1,15,2024-06-15,452.0,8aede4f3-bd43-45a7-9edc-5d69a2645fa1
4dee3398-db6d-4995-80aa-a2def5400fc3,1d664e5b-d86e-4a54-9d4f-11efa34f9686,26,2024-02-16,186.0,e48e19e2-3978-4330-ac3b-4e3217312d72
b0cc0929-4f6a-4fb7-865f-b5c59af3b557,dcfde7f7-afda-460a-824f-3d0a873d057b,33,2024-02-20,264.0,bcbf0f5c-6497-4219-b42b-4954b88b0480
007fa68d-e211-47af-85dc-e02f7477b5a9,006af455-013b-4c09-a6df-15ca3d41010f,43,2024-02-14,357.0,33ea8c7d-1b0a-4be7-9cff-d35ea357325f
6326201e-38cb-4b10-afa7-36674b9cfa30,96012fd8-091c-4290-a3c3-b8fb9b8772e0,48,2024-07-06,380.0,5184e796-6c9f-4019-907b-6e9e838430f3
d046f83e-4bb4-4207-b2e3-7797b443fcec,b8564eba-3bc2-4300-a6a0-7c2d32c5258e,27,2024-07-21,242.0,5f719abf-9d76-49d9-a082-e408309d38b9
8ca7d031-990a-4b63-bfde-a29e881854e4,ff3a6c5b-77ac-485c-908a-0118aeab482d,46,2024-01-13,263.0,d0fa26a0-d161-4976-ae9a-9c5f74fc103c
d9ff5d09-c0e2-4389-99b3-7c9eb76cc376,877b1593-0779-4490-aff6-e860b828f4d9,18,2024-06-14,317.0,d07336a6-e21c-45d9-bc59-bb63382649bc
79efd046-fa1a-467c-b0df-05292d2d2235,df1d006a-dcec-4ae8-902e-76ed5de0c0f5,7,2024-02-27,220.0,7bf59475-aa40-48d6-90bb-e51ffcc0cba7
2581c29a-4cdb-4aee-92be-05d80d026b31,3e1907bd-306b-4612-b03f-9964c54d5f00,19,2024-06-21,264.0,440d8680-f45c-487d-9a53-1164227504ed
b2653378-fb94-40ed-a92b-816d687fcdd5,0e206840-2f54-49e4-a0c1-7966e11ed3fc,7,2024-01-17,272.0,c48b42a3-544b-4542-8528-4208e6f80b46
1e9c2fdd-3eea-4059-ac59-18bed61a3965,32c43310-2156-40bf-a0bb-88ae963c2b3d,25,2024-05-02,234.0,9dd03ac8-7cac-493d-bcd1-06ca9a66ca33
47f4a4a6-548f-4a7f-8e9c-e17c2ce2c34a,a816cf2d-0c49-4c1c-9a05-64715fc11b29,22,2024-07-30,482.0,5f719abf-9d76-49d9-a082-e408309d38b9
5cf39900-e698-441d-a2a6-c26d13bacd67,342e9e90-fb41-42ef-9778-34ee2c4c536e,13,2024-06-09,307.0,0468e32e-644b-491f-a3e1-741306f2c3f2
03959945-d4c2-4bcd-9e8d-c93a7aa32c8d,b8eaa8af-fe31-4f60-a4d3-2037756d4e56,6,2024-06-06,253.0,e436fc49-a67b-4eda-bab9-a19a0b31a3e2
0ad7329d-ac40-4ebe-af86-1bb4ef13bc29,3f6c26f3-aef8-4992-a588-18b2d28726ff,44,2024-04-24,94.0,3e97b5d8-933a-4860-bce7-2398af6c5613
55e6fcb6-32a5-4690-99a9-917270796a36,f7c4d1cd-18dc-475c-9a5c-1131df8c23dd,27,2024-02-29,360.0,ab37df34-610e-4c16-956b-4f2e38cb60bf
dcdbf1ca-9fa1-4517-b74d-85e47bced43e,44d6a920-5aeb-4543-a174-690164e3ed0b,33,2024-03-26,99.0,cff5a157-eebc-4c5a-9fe1-2d5d7820f90d
ba77fb8e-eaaa-4e53-a7cf-882c8a99b675,e26383e6-4eeb-430c-9a11-386e157233f2,21,2024-02-02,483.0,1ce71e8b-2ac6-4939-bdca-476b9861362a
a49fc8cb-f4f1-4c21-aa37-a06727d7b413,0f4ff1f7-40fc-4223-a2fa-677292d8708b,44,2024-01-21,195.0,5afc6a19-ffa5-43ef-8acd-d022f6837055
f8136e12-788a-41ea-a3fa-00826341a057,a956e5f8-b764-439a-b921-53cc68af9d0d,31,2024-04-08,423.0,1ce71e8b-2ac6-4939-bdca-476b9861362a
be54655d-2cce-491c-a631-22f37a9e30c9,496d85f5-d948-4b71-a41e-e930d6586c7f,47,2024-04-06,439.0,8d3bd9c2-124c-48f1-b925-68d0a28ae4a2
146714b2-4658-48a1-bd50-99b6cd623304,d4bb43e8-8f72-4ff6-ab26-b6fac8f26584,5,2024-06-09,252.0,e48e19e2-3978-4330-ac3b-4e3217312d72
c6abd6c1-9505-4f4e-ba87-9d78af2867ca,321c2e5e-6127-4a81-b6b5-000d54c145b4,11,2024-07-13,162.0,d7558c8d-5355-48e7-8b88-30ab41ff2b8f
2a51fef2-a458-4003-b41d-56c37648b8cc,319a1175-3869-4067-bead-d13f371071e4,41,2024-05-02,472.0,cff5a157-eebc-4c5a-9fe1-2d5d7820f90d
56c65b62-c9d0-4eeb-84fe-a44fc08e1523,ec910504-7738-463c-b269-1b1617b09ad1,45,2024-04-21,91.0,d0fa26a0-d161-4976-ae9a-9c5f74fc103c
578f7c74-a503-4e4c-b57c-0bf1bc43970d,37881568-6780-47d3-b586-5971c997fc1b,40,2024-03-19,273.0,2bad2c4e-1891-4fdf-921f-39712c19df58
ebd38a54-3921-479b-bb82-fead5c855c9f,8d533d2a-7c02-4345-8a9d-0349182dd268,24,2024-01-02,317.0,bee79b36-32a7-44ab-8bb6-6e393573b240
844ea562-b129-4a8c-bcb5-2ecf80ece5e8,c83fa867-56ae-4338-8ac3-de10c62031f1,43,2024-07-21,365.0,5251ef10-fefe-4622-b4cf-b7d97bcce4fd
e5a51e95-238a-44a5-b5ab-770d8c167714,e47edfb0-2977-434a-8bc3-f75b8b6ea95c,30,2024-01-08,255.0,5f719abf-9d76-49d9-a082-e408309d38b9
d684cfa3-4074-4175-b44e-d16fc5a8f2e0,a816cf2d-0c49-4c1c-9a05-64715fc11b29,49,2024-05-08,483.0,87adedcb-ab44-4cf8-ac92-6f3ca9a9712e
d7dfbd43-f359-437c-aef5-1c14991989c7,d7522cab-f713-4c74-9d32-fadba3a20a85,31,2024-03-07,222.0,69963dca-cd5e-4109-abdf-a72f8d324cf6
ce78b272-d9f5-43ae-acd4-3c790398bd59,e525e7f9-41ee-48bc-b8f4-81a75acbc3aa,44,2024-02-11,354.0,e606e140-e08f-44a6-a97f-9de66467c52d
137b2e7d-ffe8-4978-8abe-b7af73cb3857,e389eea3-1879-4df8-9311-fb2b068c4082,50,2024-03-31,241.0,bee79b36-32a7-44ab-8bb6-6e393573b240
dfa75f52-fc67-4107-95ef-11e05fb9d97c,38f05547-f7b0-4f41-a3d9-c57ecbf7d453,19,2024-07-25,418.0,61989b73-1807-414a-a75b-f194c0152dba
2d65f55b-a459-4628-8422-61a9ac7e6ce9,b552b0ab-faf1-452b-a2e6-7b37a31aa881,5,2024-03-18,452.0,b765f7ba-f31c-493a-bcf9-c048506b6448
463cafc8-647d-40de-a8ff-253a7215e8c7,e390fd9b-f416-4179-82d5-54f275ed749e,31,2024-01-17,52.0,37455a0c-e36c-428f-b4cb-0ad5ce09f8b5
bb294b88-c490-4bd3-8059-9fa3f76b3c8a,b40e5c83-9808-4dc6-966f-5451f83b4aec,2,2024-02-12,207.0,cff5a157-eebc-4c5a-9fe1-2d5d7820f90d
145d5afc-a10d-4e3c-af8d-33db52109605,08558fbe-cb5c-4229-af5f-2b5236b4756c,19,2024-07-24,444.0,d07336a6-e21c-45d9-bc59-bb63382649bc
14e11047-7e29-42bf-b81b-d6b98c326557,b635dea8-76be-45c8-a900-1ac6f0a142c2,11,2024-02-17,103.0,5f719abf-9d76-49d9-a082-e408309d38b9
f6ee4b08-8913-48cb-a4ea-8da894fb9d80,015cc4e1-5cf8-441c-80ad-ca3536c53e9a,39,2024-01-05,466.0,9dd03ac8-7cac-493d-bcd1-06ca9a66ca33
98ae4ba9-7aef-4952-9aab-3fcf5077fbc9,149b8752-cedd-4c06-bbf9-aeadef2ec970,19,2024-05-15,471.0,c48b42a3-544b-4542-8528-4208e6f80b46
